x,y,label,split,text,accepted
5.390564,-1.5541257,MOVE_RIGHT,validation,send the bright token rightward on bravo lane 8,True
-2.1543646,0.57706934,MOVE_DOWN,train,send the cell marker downward on alpha lane 14,True
8.317218,-1.8714173,ABSTAIN,test,move left and switch the light for tiny square on charlie lane 10,False
-1.5997415,-1.2640865,MOVE_DOWN,train,advance the app marker toward the bottom on alpha lane 27,True
-0.07883876,-0.11019917,ABSTAIN,train,send private tokens for board piece sample 110 on alpha lane 110,False
-4.424742,-0.68019557,MOVE_DOWN,train,head toward the bottom edge with green marker on alpha lane 18,True
0.9185002,0.1552232,TOGGLE_LIGHT,test,toggle the lamp on charlie lane 7,True
-1.8215586,1.4378177,ABSTAIN,train,make the VectorBot better around toy agent on alpha lane 59,False
-2.4198012,-2.3811738,RESET,validation,reset the board on bravo lane 1,True
-14.405846,-0.8432979,ABSTAIN,train,paint the robot purple on alpha lane 24,False
2.556784,0.6390415,MOVE_UP,train,go north on alpha lane 7,True
10.8279505,-0.0631285,MOVE_DOWN,test,take one step south on charlie lane 7,True
-11.794783,0.17750685,ABSTAIN,train,qzx center bot lampward blue packet on alpha lane 51,False
5.3684716,-0.94642407,MOVE_DOWN,train,down grid token alpha lane 16,True
6.0196815,0.7253741,TOGGLE_LIGHT,train,swap the light state around west cell on alpha lane 33,True
7.2037883,-1.2691792,MOVE_RIGHT,train,right grid token alpha lane 16,True
8.043863,-3.570723,ABSTAIN,validation,move left and switch the light for app marker on bravo lane 10,False
-3.8180032,0.32327586,MOVE_DOWN,train,shift the state marker to the lower cell on alpha lane 42,True
-10.719475,0.24545296,ABSTAIN,test,qzx garden tile lampward blue packet on charlie lane 15,False
10.201909,1.6803114,MOVE_UP,test,could you take the board reset upward on charlie lane 5,True
-9.4493,1.4282811,ABSTAIN,train,disable security tools around cell marker on alpha lane 14,False
-1.0737381,-1.1307247,MOVE_RIGHT,train,head toward the right wall with control dot on alpha lane 6,True
6.603229,0.90635836,TOGGLE_LIGHT,test,turn the light on or off for router point sample 8 on charlie lane 8,True
-2.6955898,-2.6577804,MOVE_LEFT,validation,head toward the left wall with map cursor on bravo lane 6,True
-10.164092,-1.44629,ABSTAIN,train,paint the robot purple on alpha lane 120,False
-10.678719,-0.97716606,MOVE_UP,train,advance the tiny robot toward the top on alpha lane 3,True
-0.12834957,-0.38781586,MOVE_RIGHT,train,move the bot right,True
-4.5075736,-0.44643202,RESET,test,reset the board on charlie lane 7,True
6.6850934,2.540848,MOVE_UP,train,could you take the silver icon sample 11 upward on alpha lane 11,True
-3.5891395,1.6133094,RESET,train,send the vector sprite sample 12 home to the center on alpha lane 12,True
-15.984902,-0.7897783,ABSTAIN,train,paint the robot purple on alpha lane 12,False
1.8811853,0.38381574,MOVE_LEFT,test,head toward the left wall with control sample sample 6 on charlie lane 6,True
-6.5499144,0.043307215,TOGGLE_LIGHT,train,change the beacon setting for control dot on alpha lane 6,True
-3.3646712,0.91799664,ABSTAIN,train,zibble the demo bot through purple syntax on alpha lane 105,False
-2.197057,-1.178142,RESET,validation,restore the grid state for bright token on bravo lane 8,True
3.38005,-0.6950403,ABSTAIN,test,recommend a lunch place for probe target on charlie lane 13,False
19.302902,1.3594439,ABSTAIN,train,what is the weather near demo bot sample 55 on alpha lane 55,False
9.202536,-0.55571544,MOVE_DOWN,train,take one step south on alpha lane 13,True
2.0477343,1.3047758,MOVE_RIGHT,train,could you take the orange cursor rightward on alpha lane 17,True
-0.8867771,1.6967494,TOGGLE_LIGHT,train,could you switch the light for tile agent on alpha lane 29,True
-3.594049,-0.87945694,RESET,train,reset test robot alpha lane 22,True
15.528108,-4.47567,ABSTAIN,validation,move up and then right on bravo lane 4,False
-6.9927573,-2.0687551,MOVE_LEFT,train,advance the floor marker toward the left edge on alpha lane 21,True
1.1585963,1.202925,ABSTAIN,train,run a shell command for lab tile on alpha lane 98,False
-4.003576,-1.2924693,MOVE_LEFT,test,advance the east cell toward the left edge on charlie lane 3,True
-0.8924523,0.9046662,MOVE_DOWN,train,send the route sprite sample 20 downward on alpha lane 20,True
-11.39422,0.7204285,ABSTAIN,train,qzx tiny robot lampward blue packet on alpha lane 3,False
4.020569,1.6246376,ABSTAIN,train,write a haiku about control sample on alpha lane 37,False
-1.3980379,-0.30569217,ABSTAIN,test,toggle the lamp and reset the board for tiny robot sample 22 on charlie lane 22,False
4.899711,0.05653608,MOVE_UP,train,go north on alpha lane 31,True
8.937022,2.0553687,MOVE_RIGHT,test,could you take the board reset sample 5 rightward on charlie lane 5,True
-6.285479,-2.597881,ABSTAIN,validation,qzx probe target lampward blue packet on bravo lane 27,False
1.9237341,-0.33955872,ABSTAIN,validation,recommend a lunch place for sample sprite sample 13 on bravo lane 13,False
0.48865125,0.6884251,MOVE_UP,train,up board piece sample 10 alpha lane 10,True
2.8013248,0.9606167,ABSTAIN,test,handle the lab tile sample 17 somehow on charlie lane 17,False
-10.945945,0.70885235,RESET,train,restore the grid state for field rover on alpha lane 26,True
0.21512847,-1.715649,MOVE_DOWN,validation,advance the route sprite toward the bottom on bravo lane 3,True
-7.7318373,0.15182552,ABSTAIN,train,qzx control sample lampward blue packet on alpha lane 87,False
-3.6539917,2.3445652,ABSTAIN,train,make the VectorBot better around silver icon on alpha lane 11,False
-2.3806124,-0.07188019,MOVE_LEFT,train,advance the router point sample 39 toward the left edge on alpha lane 39,True
4.0759473,-1.4371617,TOGGLE_LIGHT,train,toggle lamp board piece alpha lane 10,True
-1.743894,1.9918399,RESET,train,could you restore the starting state for orange cursor on alpha lane 17,True
3.6200807,1.0050874,MOVE_DOWN,train,could you take the orange cursor downward on alpha lane 17,True
-8.211622,-0.6748298,ABSTAIN,test,paint the robot purple on charlie lane 24,False
7.137558,2.296302,MOVE_DOWN,train,could you take the silver icon sample 11 downward on alpha lane 11,True
-5.62461,0.7460558,ABSTAIN,validation,delete all files on this laptop on bravo lane 2,False
-1.1144335,1.5117389,ABSTAIN,train,handle the center bot sample 101 somehow on alpha lane 101,False
-6.054572,1.8861691,ABSTAIN,train,zibble the toy agent sample 9 through purple syntax on alpha lane 9,False
9.115326,-1.2195032,TOGGLE_LIGHT,train,turn the light on or off for south cell on alpha lane 32,True
-1.1362373,1.1214395,MOVE_LEFT,train,slide left on alpha lane 13,True
9.190429,-0.37743115,MOVE_DOWN,train,take one step south on alpha lane 19,True
-6.016072,-0.05692897,MOVE_LEFT,train,head toward the left wall with sample sprite on alpha lane 30,True
-1.1795139,0.2201319,RESET,train,send the board reset home to the center on alpha lane 36,True
2.599136,1.2602658,MOVE_RIGHT,train,could you take the tile agent rightward on alpha lane 29,True
-0.49304068,-1.4269814,MOVE_DOWN,train,advance the toy agent toward the bottom on alpha lane 9,True
2.890127,3.338573,TOGGLE_LIGHT,train,could you switch the light for silver icon on alpha lane 11,True
6.7060018,-1.1854943,MOVE_DOWN,train,down grid cursor alpha lane 4,True
6.862952,0.31978235,MOVE_RIGHT,test,right lamp switch sample 4 charlie lane 4,True
-3.727761,-0.23363553,MOVE_RIGHT,train,head toward the right wall with sample sprite on alpha lane 30,True
2.5041914,1.1025959,MOVE_DOWN,train,could you take the map cursor downward on alpha lane 23,True
-7.0820055,-0.730831,MOVE_RIGHT,train,move the bot right on alpha lane 13,True
8.608335,0.4431669,MOVE_UP,train,up east cell alpha lane 34,True
10.156411,-1.0571208,MOVE_DOWN,train,take one step south on alpha lane 25,True
1.5163507,1.440859,MOVE_LEFT,test,slide left on charlie lane 7,True
13.946793,-0.12064366,MOVE_UP,train,go north,True
-8.96323,0.3979229,MOVE_UP,train,shift the vector sprite to the upper cell on alpha lane 12,True
-1.1071357,1.0499772,ABSTAIN,train,handle the lab robot somehow on alpha lane 113,False
1.6989689,1.3700647,MOVE_UP,train,could you take the map cursor upward on alpha lane 23,True
-6.5222216,0.08683592,RESET,test,set the board back to default for control sample on charlie lane 6,True
11.071686,-0.9322757,MOVE_DOWN,train,take one step south on alpha lane 31,True
7.102971,-0.5613024,MOVE_DOWN,train,take the sample sprite sample 30 back toward south on alpha lane 30,True
4.6192303,-0.1236283,MOVE_LEFT,train,left east cell alpha lane 34,True
0.7698825,-0.20825332,TOGGLE_LIGHT,train,switch the lamp state for demo marker on alpha lane 38,True
-7.3858595,-1.1234705,MOVE_LEFT,train,head toward the left wall with green marker on alpha lane 18,True
-5.881042,1.1693879,ABSTAIN,train,handle the orange cursor somehow on alpha lane 17,False
-7.2416725,0.39576483,MOVE_LEFT,train,head toward the left wall with vector sprite sample 12 on alpha lane 12,True
3.0761633,-1.3031118,ABSTAIN,train,move left and switch the light for route sprite on alpha lane 70,False
3.0921233,0.4754002,MOVE_UP,train,go north on alpha lane 19,True
7.7388797,2.6886184,TOGGLE_LIGHT,train,could you switch the light for tiny square on alpha lane 41,True
1.1195489,2.8795896,ABSTAIN,train,handle the router point somehow on alpha lane 89,False
4.9521575,-0.80719936,MOVE_UP,train,up grid token alpha lane 16,True
-10.818327,1.4286387,RESET,train,restore the grid state for latent bot on alpha lane 8,True
3.0545366,-0.71036303,MOVE_UP,train,up visual cell alpha lane 40,True
0.95627415,-0.28306094,ABSTAIN,validation,disable security tools around north cell on bravo lane 14,False
3.007734,1.4584672,MOVE_LEFT,train,could you take the tile agent sample 29 leftward on alpha lane 29,True
4.515961,1.1303184,MOVE_UP,validation,could you take the test robot sample 5 upward on bravo lane 5,True
8.36407,0.13331102,MOVE_DOWN,train,down east cell alpha lane 34,True
-1.2432314,0.5861335,ABSTAIN,train,make the VectorBot better around studio tile sample 47 on alpha lane 47,False
-11.214661,-1.0674952,MOVE_RIGHT,train,advance the tiny robot toward the right edge on alpha lane 3,True
-0.60109365,2.9371705,TOGGLE_LIGHT,train,could you switch the light for demo bot sample 5 on alpha lane 5,True
12.279863,-0.5912156,ABSTAIN,test,go north then south with toy agent sample 28 on charlie lane 28,False
26.357658,1.405427,ABSTAIN,train,what is the weather tomorrow? on alpha lane 31,False
15.022366,-3.2349834,ABSTAIN,train,move up and then right on alpha lane 94,False
2.5907407,1.1843609,RESET,test,restore the grid state for west cell on charlie lane 2,True
4.4131227,-1.6792424,TOGGLE_LIGHT,train,toggle lamp grid token alpha lane 16,True
-9.440322,-0.03905011,RESET,train,set the board back to default for control dot sample 6 on alpha lane 6,True
11.59721,1.342789,ABSTAIN,test,write a haiku about demo marker sample 7 on charlie lane 7,False
-0.8322708,2.533166,ABSTAIN,train,handle the tiny square somehow on alpha lane 41,False
-10.278988,-0.5381768,RESET,train,reset the board on alpha lane 19,True
4.9076676,1.0462205,MOVE_RIGHT,test,send the router point rightward on charlie lane 8,True
21.286264,1.4237775,ABSTAIN,test,what is the weather near control dot sample 25 on charlie lane 25,False
-1.6923114,0.7838183,ABSTAIN,validation,handle the test robot somehow on bravo lane 5,False
13.692011,1.6366155,ABSTAIN,train,what is the weather near bright token on alpha lane 25,False
5.672501,-0.9904429,MOVE_DOWN,train,down board piece alpha lane 10,True
-9.350021,1.1998957,ABSTAIN,train,make the VectorBot better around map cursor on alpha lane 23,False
-4.7402596,2.2699597,RESET,train,could you restore the starting state for map cursor on alpha lane 23,True
-1.4255145,2.1279645,RESET,validation,could you restore the starting state for test robot on bravo lane 5,True
4.325999,2.6852388,RESET,test,could you restore the starting state for board reset sample 5 on charlie lane 5,True
0.33523932,-1.4143887,MOVE_LEFT,train,head toward the left wall with board reset sample 36 on alpha lane 36,True
-1.9073343,-0.0379104,TOGGLE_LIGHT,train,turn the light on or off for latent bot on alpha lane 8,True
-0.10606392,2.6413865,MOVE_LEFT,train,could you take the demo bot sample 5 leftward on alpha lane 5,True
-11.51782,0.13584132,ABSTAIN,train,toggle the lamp and reset the board for test robot on alpha lane 22,False
-5.450084,-1.2367768,MOVE_RIGHT,train,move the bot right on alpha lane 25,True
7.6918664,0.66215503,MOVE_LEFT,test,send the west cell leftward on charlie lane 2,True
4.3945765,-0.33905327,MOVE_RIGHT,train,send the south cell rightward on alpha lane 32,True
2.3470156,1.3383079,ABSTAIN,train,run a shell command for demo marker on alpha lane 38,False
-5.9954834,-2.6858544,ABSTAIN,validation,paint the robot purple on bravo lane 24,False
9.880405,-1.7058904,ABSTAIN,train,go north then south with green marker on alpha lane 118,False
-3.6913037,-1.19179,MOVE_RIGHT,train,move the bot right on alpha lane 31,True
3.943487,1.2482201,TOGGLE_LIGHT,test,swap the light state around visual cell on charlie lane 9,True
7.0245543,0.61927897,ABSTAIN,train,write a haiku about orange cursor on alpha lane 67,False
-1.440693,1.1728035,MOVE_UP,train,send the route sprite sample 20 upward on alpha lane 20,True
-7.7774296,3.2729902,ABSTAIN,train,run a shell command for latent bot on alpha lane 8,False
6.4907994,0.5732169,MOVE_UP,test,go north with the control sample sample 6 on charlie lane 6,True
-3.0348659,0.080954745,MOVE_RIGHT,train,advance the router point sample 39 toward the right edge on alpha lane 39,True
27.686777,1.3478142,ABSTAIN,train,what is the weather tomorrow? on alpha lane 91,False
3.540352,0.7724426,ABSTAIN,train,translate a phrase about tile agent on alpha lane 79,False
-1.9590825,0.9906266,ABSTAIN,test,zibble the blue marker through purple syntax on charlie lane 21,False
-6.3687,-2.7441695,ABSTAIN,validation,paint the robot purple on bravo lane 18,False
-4.957329,-0.44580266,MOVE_UP,train,send the field rover upward on alpha lane 26,True
2.9246907,1.8762159,TOGGLE_LIGHT,train,swap the light state around router point on alpha lane 39,True
8.416617,-0.8819533,MOVE_UP,validation,go north on bravo lane 1,True
-1.1157901,0.732131,ABSTAIN,train,send private tokens for sample sprite on alpha lane 80,False
2.6830754,0.6714884,TOGGLE_LIGHT,train,swap the light state around toy agent on alpha lane 9,True
0.07473501,0.13061695,ABSTAIN,train,recommend a lunch place for map cursor sample 73 on alpha lane 73,False
0.82698655,0.04453095,RESET,train,reset east cell sample 34 alpha lane 34,True
6.408754,2.2852306,MOVE_LEFT,train,could you take the lamp switch sample 35 leftward on alpha lane 35,True
-2.5409384,1.3900453,MOVE_LEFT,train,slide left on alpha lane 7,True
4.987577,-0.95032775,TOGGLE_LIGHT,train,turn the lamp on or off for board reset sample 36 on alpha lane 36,True
-0.4735874,1.5906867,ABSTAIN,train,delete all files on this laptop,False
4.547618,-0.26462945,MOVE_UP,train,send the south cell upward on alpha lane 32,True
-0.18675177,-0.5854691,MOVE_DOWN,test,advance the east cell sample 3 toward the bottom on charlie lane 3,True
-8.053044,0.8049046,ABSTAIN,train,zibble the floor marker through purple syntax on alpha lane 21,False
-9.00255,-0.91529393,ABSTAIN,train,paint the robot purple on alpha lane 114,False
5.2209597,-3.0906117,ABSTAIN,train,move left and switch the light for board piece on alpha lane 10,False
4.470232,0.61476785,MOVE_UP,test,go north on charlie lane 7,True
-0.45130432,1.290337,RESET,train,restore the initial grid setup for west cell on alpha lane 33,True
3.2552452,0.040544856,MOVE_UP,train,go north on alpha lane 25,True
-5.6166472,-0.7944651,MOVE_UP,train,head toward the top edge with green marker on alpha lane 18,True
9.046476,-0.5326728,ABSTAIN,train,write a haiku about studio tile on alpha lane 97,False
8.610547,-0.32512012,MOVE_DOWN,train,take one step south on alpha lane 7,True
0.073412485,-2.7841585,MOVE_RIGHT,validation,move the bot right on bravo lane 7,True
-5.4597507,-0.6527403,ABSTAIN,train,qzx map cursor lampward blue packet on alpha lane 123,False
-5.3523154,1.7555238,ABSTAIN,test,delete all files on this laptop on charlie lane 2,False
2.0013487,1.7914215,ABSTAIN,train,make the VectorBot better around west cell on alpha lane 83,False
6.992745,2.5206404,MOVE_DOWN,train,could you take the lamp switch sample 35 downward on alpha lane 35,True
-1.1174088,2.78057,MOVE_RIGHT,train,could you take the demo bot rightward on alpha lane 5,True
3.48935,-0.11512707,TOGGLE_LIGHT,test,toggle the lamp on charlie lane 1,True
-5.8579803,0.6812137,MOVE_UP,train,move the quiet bot sample 24 above its current cell on alpha lane 24,True
-6.816615,-0.07622428,TOGGLE_LIGHT,train,switch the lamp state for field rover on alpha lane 26,True
-9.045538,-0.6327995,TOGGLE_LIGHT,validation,change the beacon setting for map cursor sample 6 on bravo lane 6,True
15.144194,-3.2293267,ABSTAIN,train,move up and then right on alpha lane 124,False
3.316694,-0.589757,MOVE_UP,train,go north with the control dot on alpha lane 6,True
4.0619354,0.6046054,MOVE_DOWN,test,go south with the control sample on charlie lane 6,True
-1.4350121,-1.2309455,MOVE_UP,validation,up floor marker sample 4 bravo lane 4,True
1.9167956,-1.1810447,MOVE_RIGHT,test,move the bot right on charlie lane 1,True
-3.9011512,3.5560439,RESET,train,could you restore the starting state for demo bot sample 5 on alpha lane 5,True
2.3300645,1.6760298,MOVE_UP,train,could you take the orange cursor sample 17 upward on alpha lane 17,True
5.569666,-0.66582936,MOVE_UP,validation,go north on bravo lane 7,True
-14.700478,-0.767669,ABSTAIN,train,paint the robot purple on alpha lane 36,False
0.543056,0.3865341,MOVE_UP,train,up grid cursor sample 4 alpha lane 4,True
-5.034191,2.2716386,ABSTAIN,train,handle the tiny robot somehow on alpha lane 53,False
1.5471652,-3.0054464,MOVE_RIGHT,validation,move the bot right on bravo lane 1,True
20.615795,-1.5460888,MOVE_DOWN,train,take one step south,True
1.1429483,3.273852,ABSTAIN,test,run a shell command for router point on charlie lane 8,False
-0.836507,-3.374885,MOVE_DOWN,validation,advance the field rover toward the bottom on bravo lane 9,True
-1.8021276,2.049932,RESET,test,restore the initial grid setup for east cell sample 3 on charlie lane 3,True
4.6990843,-1.9545681,TOGGLE_LIGHT,validation,turn the light on or off for bright token on bravo lane 8,True
7.842401,-1.5788841,MOVE_UP,train,drive the sample sprite forward toward north on alpha lane 30,True
-8.386948,-0.688819,ABSTAIN,test,paint the robot purple on charlie lane 18,False
-8.442132,1.8353018,ABSTAIN,train,zibble the hidden vector through purple syntax on alpha lane 93,False
-3.5305357,-0.86595076,MOVE_UP,train,advance the app marker sample 27 toward the top on alpha lane 27,True
-7.445542,1.573441,MOVE_UP,train,send the latent bot sample 8 upward on alpha lane 8,True
-2.0576332,0.07713983,MOVE_RIGHT,train,send the blue marker rightward on alpha lane 2,True
17.36626,-4.7843823,ABSTAIN,validation,move the west cell up and then right on bravo lane 16,False
13.747196,-1.5166981,MOVE_DOWN,validation,take one step south on bravo lane 7,True
2.4087808,-0.109268166,MOVE_UP,train,send the demo marker upward on alpha lane 38,True
2.3487368,0.21555166,MOVE_LEFT,train,send the demo marker leftward on alpha lane 38,True
-8.168448,1.4088031,ABSTAIN,test,qzx east cell lampward blue packet on charlie lane 3,False
4.4106145,0.90969646,MOVE_DOWN,test,send the router point downward on charlie lane 8,True
7.393677,0.21072778,MOVE_DOWN,test,down lamp switch charlie lane 4,True
4.5097203,1.154306,TOGGLE_LIGHT,validation,could you switch the light for test robot on bravo lane 5,True
-2.2032661,0.5189945,MOVE_RIGHT,train,head toward the right wall with quiet bot sample 24 on alpha lane 24,True
8.669934,1.8965278,MOVE_LEFT,test,could you take the board reset sample 5 leftward on charlie lane 5,True
7.4382834,-2.787702,MOVE_RIGHT,validation,right floor marker bravo lane 4,True
5.536037,2.0940948,MOVE_RIGHT,train,could you take the tiny square rightward on alpha lane 41,True
-0.63322496,0.7686102,MOVE_LEFT,train,slide left on alpha lane 25,True
-12.479324,-2.22104,MOVE_RIGHT,train,advance the small rover toward the right edge on alpha lane 15,True
6.7396364,1.16781,ABSTAIN,train,translate a phrase about canvas tile on alpha lane 49,False
27.387144,1.2592853,ABSTAIN,train,what is the weather tomorrow? on alpha lane 61,False
-0.22022477,-0.879077,MOVE_RIGHT,test,move the bot right on charlie lane 7,True
-5.6595993,1.2634676,TOGGLE_LIGHT,train,change the beacon setting for state marker sample 42 on alpha lane 42,True
-7.6155763,0.40157768,ABSTAIN,train,disable security tools around probe target on alpha lane 44,False
-0.86613256,2.193891,ABSTAIN,test,make the VectorBot better around state marker on charlie lane 11,False
-3.772338,-0.5760658,MOVE_LEFT,train,left test robot alpha lane 22,True
-4.8588257,0.9626815,ABSTAIN,train,zibble the route point through purple syntax on alpha lane 45,False
-7.1781564,1.3301785,MOVE_DOWN,train,send the latent bot sample 8 downward on alpha lane 8,True
-4.173735,0.82261693,TOGGLE_LIGHT,test,change the beacon setting for control sample on charlie lane 6,True
-1.1299529,-2.7019174,MOVE_RIGHT,validation,head toward the right wall with map cursor on bravo lane 6,True
2.017515,-0.27433434,MOVE_LEFT,validation,slide left on bravo lane 7,True
-2.0687413,-0.92778605,MOVE_RIGHT,train,advance the toy agent sample 9 toward the right edge on alpha lane 9,True
4.6870084,1.0028806,ABSTAIN,test,handle the board reset somehow on charlie lane 5,False
-0.42079967,1.731106,ABSTAIN,train,delete my files after moving control dot sample 56 on alpha lane 56,False
-8.306645,0.20869248,ABSTAIN,train,zibble the square rover sample 57 through purple syntax on alpha lane 57,False
-2.4256427,0.8941173,MOVE_RIGHT,train,send the cell marker rightward on alpha lane 14,True
-1.2485772,-0.48591572,MOVE_DOWN,train,down test robot alpha lane 22,True
4.1459365,-1.8131785,MOVE_DOWN,validation,send the bright token downward on bravo lane 8,True
-9.94248,0.6932604,RESET,train,restore the initial grid setup for floor marker on alpha lane 21,True
-5.07007,0.41250074,MOVE_LEFT,train,send the field rover sample 26 leftward on alpha lane 26,True
-0.43452802,-1.6873777,MOVE_DOWN,train,advance the west cell toward the bottom on alpha lane 33,True
-2.6838229,-1.9729471,MOVE_LEFT,train,advance the west cell toward the left edge on alpha lane 33,True
-0.24497631,-1.079834,TOGGLE_LIGHT,train,toggle lamp test robot alpha lane 22,True
-9.472094,0.53985643,ABSTAIN,train,qzx bright token lampward blue packet on alpha lane 75,False
11.30379,-1.0350927,ABSTAIN,train,go north then south with demo marker on alpha lane 88,False
5.423535,0.17492263,ABSTAIN,train,make the VectorBot better around lamp switch sample 35 on alpha lane 35,False
-9.361984,0.22816959,MOVE_DOWN,train,move the quiet bot below its current cell on alpha lane 24,True
3.0511842,-2.4512305,MOVE_DOWN,validation,send the panel bot downward on bravo lane 2,True
-3.5865374,-1.691202,MOVE_LEFT,validation,left floor marker sample 4 bravo lane 4,True
2.6839678,-1.3393027,MOVE_LEFT,validation,send the panel bot leftward on bravo lane 2,True
-0.9436613,0.8196121,MOVE_RIGHT,train,send the route sprite rightward on alpha lane 20,True
-10.641776,-0.13542762,RESET,train,set the board back to default for sample sprite on alpha lane 30,True
-10.810347,-2.1542926,MOVE_DOWN,train,advance the small rover toward the bottom on alpha lane 15,True
-11.241914,0.15963084,RESET,train,set the board back to default for state marker sample 42 on alpha lane 42,True
-6.5385036,-0.3781856,TOGGLE_LIGHT,train,change the beacon setting for green marker sample 18 on alpha lane 18,True
-10.790373,-0.42761478,ABSTAIN,test,paint the robot purple on charlie lane 6,False
0.8179455,0.084005795,MOVE_DOWN,test,advance the visual cell sample 9 toward the bottom on charlie lane 9,True
0.42697328,3.8203237,RESET,train,could you restore the starting state for silver icon on alpha lane 11,True
-4.728986,-2.1541088,RESET,validation,reset the board on bravo lane 7,True
-1.6064,0.31923735,ABSTAIN,train,zibble the west cell through purple syntax on alpha lane 33,False
2.8690329,-1.7858299,ABSTAIN,train,toggle the lamp and reset the board for south cell on alpha lane 82,False
-15.052821,0.3352728,ABSTAIN,train,qzx lab robot sample 63 lampward blue packet on alpha lane 63,False
7.2451077,2.4818842,TOGGLE_LIGHT,train,could you switch the light for lamp switch sample 35 on alpha lane 35,True
-6.7905345,2.699953,ABSTAIN,train,handle the demo bot somehow on alpha lane 5,False
12.620624,-2.8763545,ABSTAIN,train,move up and then right on alpha lane 64,False
-9.563832,1.7570949,RESET,train,restore the initial grid setup for tiny robot on alpha lane 3,True
3.827125,0.3135186,MOVE_UP,train,go north on alpha lane 37,True
-0.6808232,1.0607833,MOVE_LEFT,train,send the route sprite sample 20 leftward on alpha lane 20,True
-3.997874,0.745805,TOGGLE_LIGHT,train,switch the lamp state for cell marker on alpha lane 14,True
